ID,X,Y,Z,Gradient_X,Gradient_Y,Gradient_Z,Magnitude
0,0,0,0,-87.9181,528.014,-17.9594,535.585
1,1,0,0,-30.3722,105.528,38.6928,116.429
2,2,0,0,26.3493,1218.12,-14.3954,1218.49
3,3,0,0,-15.7168,2007.54,-0.0813101,2007.6
4,4,0,0,-19.399,316.211,1.35448,316.808
5,5,0,0,58.5907,552.338,52.06,557.872
6,6,0,0,14.0694,896.237,0.8441,896.348
7,7,0,0,-38.5387,849.43,-29.8721,850.828
8,8,0,0,-18.0263,1042.96,-3.3404,1043.12
9,9,0,0,-22.74,394.969,60.9045,400.284
10,10,0,0,-8.69531,253.551,41.1434,257.015
11,11,0,0,4.14891,141.199,4.04052,141.318
12,12,0,0,20.6086,291.632,-4.37639,292.392
13,13,0,0,18.7709,537.519,-24.1836,538.39
14,14,0,0,-18.6901,593.15,-5.76934,593.473
15,15,0,0,-24.2081,70.3495,4.11083,74.5116
16,16,0,0,-2.32282,1.70976,0.104585,2.88612
17,17,0,0,1.26866,1.17291,0.0,1.72778
18,18,0,0,9.91148,87.056,-2.28228,87.6481
19,19,0,0,11.2473,613.076,-13.7727,613.333
20,20,0,0,-7.00627,774.174,-13.2433,774.319
21,21,0,0,-10.5081,179.702,-4.21167,180.058
22,22,0,0,54.2415,141.611,-0.0050301,151.644
23,23,0,0,92.7011,942.415,2.03988,946.965
24,24,0,0,75.1245,1356.65,-0.237272,1358.73
25,0,1,0,-510.405,197.147,42.5533,548.809
26,1,1,0,314.679,260.653,297.76,505.593
27,2,1,0,977.355,1372.02,-230.677,1700.26
28,3,1,0,-466.67,1688.7,-2.59603,1751.99
29,4,1,0,-746.999,388.076,93.7345,846.993
30,5,1,0,348.604,728.927,124.405,817.518
31,6,1,0,162.615,451.839,6.88972,480.26
32,7,1,0,34.8207,749.251,-620.338,973.35
33,8,1,0,-245.257,659.29,-75.8357,707.506
34,9,1,0,-417.442,922.842,863.809,1331.19
35,10,1,0,-135.58,908.877,320.327,973.164
36,11,1,0,23.1891,546.675,269.695,610.022
37,12,1,0,218.769,496.418,274.544,608.0
38,13,1,0,169.53,320.888,-258.129,445.354
39,14,1,0,-252.275,302.356,46.8861,396.561
40,15,1,0,-319.928,36.1179,94.8253,335.635
41,16,1,0,-36.9111,82.0704,4.32841,90.0929
42,17,1,0,43.9418,55.713,7.96432,71.402
43,18,1,0,315.863,114.689,-72.4445,343.76
44,19,1,0,354.806,636.192,-338.092,803.078
45,20,1,0,-223.693,633.588,-269.891,724.095
46,21,1,0,-326.789,249.941,-81.3889,419.387
47,22,1,0,435.598,237.189,57.6971,499.333
48,23,1,0,700.221,451.52,-1.32367,833.175
49,24,1,0,489.36,595.211,-1.93667,770.554
50,0,2,0,39.0938,-138.521,168.901,221.91
51,1,2,0,1144.5,1374.02,-157.636,1795.18
52,2,2,0,1454.39,613.628,-365.663,1620.34
53,3,2,0,-999.665,-407.42,-4.31197,1079.51
54,4,2,0,-979.168,69.0247,42.337,982.511
55,5,2,0,122.354,85.9654,-36.9033,154.021
56,6,2,0,34.3939,-279.803,178.833,333.847
57,7,2,0,168.912,-183.036,24.7481,250.291
58,8,2,0,155.565,198.397,369.223,447.087
59,9,2,0,226.848,679.23,-491.982,868.826
60,10,2,0,-384.863,618.365,-435.739,848.742
